IP:PORT,LOSS,DELAY
[2606:4700:d0::05b6:edb6:4771:81a7]:1014,0.00%,175 ms
[2606:4700:d0::29d7:88c5:9f9d:cc8e]:1018,0.00%,175 ms
[2606:4700:d0::2877:fefc:374d:1be1]:1014,0.00%,175 ms
[2606:4700:d0::1602:ad00:57e7:5cf3]:1014,0.00%,175 ms
[2606:4700:d0::013a:d9ad:0377:059b]:1014,0.00%,176 ms
[2606:4700:d0::02ef:f99e:04e0:adc6]:1018,0.00%,176 ms
[2606:4700:d0::2088:d058:81d0:0c45]:1014,0.00%,176 ms
[2606:4700:d0::0c12:4d1b:cf30:c18e]:1018,0.00%,176 ms
[2606:4700:d0::1602:ad00:57e7:5cf3]:1018,0.00%,176 ms
[2606:4700:d0::4784:0fef:0a5d:fd59]:1014,0.00%,176 ms
[2606:4700:d0::05b6:edb6:4771:81a7]:1018,0.00%,176 ms
[2606:4700:d0::9635:115b:604e:13d3]:1018,0.00%,176 ms
[2606:4700:d1::2fa8:1a50:f064:532b]:1018,0.00%,176 ms
[2606:4700:d0::2088:d058:81d0:0c45]:1018,0.00%,176 ms
[2606:4700:d0::4540:fb10:3336:b657]:1014,0.00%,177 ms
[2606:4700:d1::0b1d:64a5:21ee:61bc]:1014,0.00%,177 ms
[2606:4700:d0::8b2e:5dbf:93f1:ba6b]:1014,0.00%,177 ms
[2606:4700:d0::9849:b565:5bd9:e3a5]:1014,0.00%,177 ms
[2606:4700:d1::0253:5e8a:2030:7dd5]:1018,0.00%,177 ms
[2606:4700:d1::1800:7e8b:2db4:e116]:1018,0.00%,177 ms
[2606:4700:d0::0315:489d:74e1:6742]:1014,0.00%,177 ms
[2606:4700:d1::3c2d:55ab:a765:2fa1]:1018,0.00%,177 ms
[2606:4700:d1::2fa8:1a50:f064:532b]:1014,0.00%,177 ms
[2606:4700:d0::fbfe:c0c1:53d2:7bb4]:1014,0.00%,177 ms
[2606:4700:d0::b2aa:e913:f0db:011e]:1014,0.00%,177 ms
[2606:4700:d0::9849:b565:5bd9:e3a5]:1018,0.00%,177 ms
[2606:4700:d0::47ae:9060:1ff3:bd74]:1018,0.00%,177 ms
[2606:4700:d0::b2aa:e913:f0db:011e]:1018,0.00%,177 ms
[2606:4700:d0::2e67:4124:0660:1c48]:1014,0.00%,177 ms
[2606:4700:d0::29d7:88c5:9f9d:cc8e]:1014,0.00%,177 ms
[2606:4700:d0::757c:c2ef:321d:4cc2]:1018,0.00%,177 ms
[2606:4700:d0::a83e:2ad2:24a5:a95a]:1018,0.00%,177 ms
[2606:4700:d0::2877:fefc:374d:1be1]:1018,0.00%,177 ms
[2606:4700:d1::4324:10da:9621:c396]:1018,0.00%,177 ms
[2606:4700:d0::86b1:1897:ebb4:05c3]:1014,0.00%,177 ms
[2606:4700:d0::f1cb:a40d:447b:9e1d]:1018,0.00%,177 ms
[2606:4700:d1::3709:cd05:c428:2318]:1014,0.00%,177 ms
[2606:4700:d0::1eaf:5fbc:b543:21e9]:1014,0.00%,177 ms
[2606:4700:d0::44bd:4a9e:7138:d869]:1014,0.00%,177 ms
[2606:4700:d0::6490:aea2:8cae:bb6f]:1018,0.00%,177 ms
[2606:4700:d0::8f30:d9e4:d287:8957]:1014,0.00%,177 ms
[2606:4700:d1::49ff:4a96:7adc:9565]:1014,0.00%,177 ms
[2606:4700:d0::ef1e:e988:18d2:b49e]:1014,0.00%,177 ms
[2606:4700:d0::8c8b:b044:b148:0156]:1018,0.00%,177 ms
[2606:4700:d0::a27c:c0c3:ac2f:0369]:1014,0.00%,177 ms
[2606:4700:d0::a27c:c0c3:ac2f:0369]:1018,0.00%,177 ms
[2606:4700:d0::2e67:4124:0660:1c48]:1018,0.00%,177 ms
[2606:4700:d0::8f42:4c59:350c:4506]:1018,0.00%,177 ms
[2606:4700:d0::47ae:9060:1ff3:bd74]:1014,0.00%,177 ms
[2606:4700:d0::0c12:4d1b:cf30:c18e]:1014,0.00%,177 ms
[2606:4700:d0::4c16:50a6:5152:e094]:1018,0.00%,177 ms
[2606:4700:d0::436a:2f6b:0f8c:4eb5]:1018,0.00%,178 ms
[2606:4700:d1::1d3e:2c15:c0cf:21f9]:1014,0.00%,178 ms
[2606:4700:d0::8f30:d9e4:d287:8957]:1018,0.00%,178 ms
[2606:4700:d0::bcc5:881c:69a8:1c4f]:1014,0.00%,178 ms
[2606:4700:d0::8b2e:5dbf:93f1:ba6b]:1018,0.00%,178 ms
[2606:4700:d1::27ff:6774:5928:81ad]:1018,0.00%,178 ms
[2606:4700:d0::4411:9944:fc98:44da]:1014,0.00%,178 ms
[2606:4700:d0::e678:9ac4:3241:e7ef]:1018,0.00%,178 ms
[2606:4700:d1::e426:86fc:a1a2:2b6e]:1014,0.00%,179 ms
[2606:4700:d1::7882:f80e:7236:6d61]:1014,0.00%,179 ms
[2606:4700:d1::79fc:c405:ae7c:b91e]:1014,0.00%,179 ms
[2606:4700:d1::9714:3393:52f9:e369]:1014,0.00%,179 ms
[2606:4700:d1::fed8:4da8:cae4:c867]:1018,0.00%,179 ms
[2606:4700:d1::7882:f80e:7236:6d61]:1018,0.00%,179 ms
[2606:4700:d1::ee39:4ecf:2940:2cf2]:1014,0.00%,179 ms
[2606:4700:d0::e936:e0ad:f47c:0abf]:1014,0.00%,179 ms
[2606:4700:d1::63c0:b7d8:02d5:3bad]:1018,0.00%,179 ms
[2606:4700:d1::5c1b:fbce:c2e3:8c3a]:1014,0.00%,179 ms
[2606:4700:d1::8e0a:d404:cb90:c3d0]:1018,0.00%,179 ms
[2606:4700:d0::fbfe:c0c1:53d2:7bb4]:1018,0.00%,179 ms
[2606:4700:d1::9714:3393:52f9:e369]:1018,0.00%,179 ms
[2606:4700:d1::67a3:196f:52c8:9b10]:1014,0.00%,179 ms
[2606:4700:d1::bf75:8cc8:ec10:90c3]:1018,0.00%,179 ms
[2606:4700:d1::2da5:f263:9103:4f9e]:1018,0.00%,179 ms
[2606:4700:d1::8bef:d189:3e5e:89a9]:1018,0.00%,179 ms
[2606:4700:d0::4c16:50a6:5152:e094]:1014,0.00%,179 ms
[2606:4700:d0::4784:0fef:0a5d:fd59]:1018,0.00%,179 ms
[2606:4700:d1::3d4d:1992:ff79:13f6]:1018,0.00%,179 ms
[2606:4700:d1::da71:0fbb:3667:2a8a]:1014,0.00%,179 ms
[2606:4700:d0::f1c5:0854:563d:e847]:1014,0.00%,179 ms
[2606:4700:d1::79fc:c405:ae7c:b91e]:1018,0.00%,179 ms
[2606:4700:d1::2da5:f263:9103:4f9e]:1014,0.00%,179 ms
[2606:4700:d0::8f42:4c59:350c:4506]:1014,0.00%,179 ms
[2606:4700:d1::e426:86fc:a1a2:2b6e]:1018,0.00%,179 ms
[2606:4700:d1::427a:df8d:2754:d1ca]:1018,0.00%,179 ms
[2606:4700:d1::e714:853d:01eb:6072]:1014,0.00%,179 ms
[2606:4700:d0::d733:c66b:07fa:394e]:1018,0.00%,179 ms
[2606:4700:d1::3e43:81c8:c411:c710]:1014,0.00%,179 ms
[2606:4700:d1::c765:2d7a:a194:75bb]:1018,0.00%,179 ms
[2606:4700:d1::8796:3b6b:d7cf:ea8b]:1018,0.00%,179 ms
[2606:4700:d1::3e43:81c8:c411:c710]:1018,0.00%,179 ms
[2606:4700:d0::d4d1:9b7b:90c2:146c]:1018,0.00%,179 ms
[2606:4700:d1::0253:5e8a:2030:7dd5]:1014,0.00%,179 ms
[2606:4700:d0::f9d7:8825:7e75:e4fb]:1018,0.00%,179 ms
[2606:4700:d1::8796:3b6b:d7cf:ea8b]:1014,0.00%,179 ms
[2606:4700:d1::f0d6:1e88:3dd3:1a6d]:1014,0.00%,179 ms
[2606:4700:d0::f9d7:8825:7e75:e4fb]:1014,0.00%,179 ms
[2606:4700:d1::c829:4369:9090:95c6]:1014,0.00%,179 ms
[2606:4700:d0::eb81:a396:4bfb:9b04]:1018,0.00%,179 ms
[2606:4700:d1::6601:c13a:187f:d6ee]:1018,0.00%,179 ms
[2606:4700:d1::dbcd:0435:b265:62fa]:1014,0.00%,179 ms
[2606:4700:d1::fdd2:6597:d9a4:3477]:1014,0.00%,179 ms
[2606:4700:d1::2762:3e5f:55e5:f23f]:1014,0.00%,179 ms
[2606:4700:d1::af20:5da2:f740:649d]:1018,0.00%,179 ms
[2606:4700:d1::963c:3869:e41d:10fa]:1018,0.00%,179 ms
[2606:4700:d1::fed8:4da8:cae4:c867]:1014,0.00%,179 ms
[2606:4700:d1::d003:49e3:ba9a:c736]:1018,0.00%,179 ms
[2606:4700:d0::4411:9944:fc98:44da]:1018,0.00%,179 ms
[2606:4700:d1::fdd2:6597:d9a4:3477]:1018,0.00%,179 ms
[2606:4700:d0::710f:992e:3a6e:cc3d]:1014,0.00%,179 ms
[2606:4700:d0::d733:c66b:07fa:394e]:1014,0.00%,179 ms
[2606:4700:d1::9d3d:d839:5407:e22e]:1018,0.00%,179 ms
[2606:4700:d1::ce2a:9a71:4491:3ee9]:1014,0.00%,179 ms
[2606:4700:d0::757c:c2ef:321d:4cc2]:1014,0.00%,179 ms
[2606:4700:d1::c938:1a08:3d12:4b0f]:1014,0.00%,179 ms
[2606:4700:d1::3d4d:1992:ff79:13f6]:1014,0.00%,179 ms
[2606:4700:d0::d4d1:9b7b:90c2:146c]:1014,0.00%,179 ms
[2606:4700:d1::da71:0fbb:3667:2a8a]:1018,0.00%,179 ms
[2606:4700:d1::e714:853d:01eb:6072]:1018,0.00%,179 ms
[2606:4700:d1::d003:49e3:ba9a:c736]:1014,0.00%,179 ms
[2606:4700:d1::38b1:cfbb:4d78:789f]:1018,0.00%,179 ms
[2606:4700:d1::ee39:4ecf:2940:2cf2]:1018,0.00%,179 ms
[2606:4700:d0::5a49:d906:f175:c343]:1014,0.00%,179 ms
[2606:4700:d1::bd6a:0839:36e1:69da]:1014,0.00%,180 ms
[2606:4700:d1::ee10:dd9b:f733:a22c]:1018,0.00%,180 ms
[2606:4700:d0::fcb6:fd9f:97f2:532e]:1018,0.00%,180 ms
[2606:4700:d1::dbcd:0435:b265:62fa]:1018,0.00%,180 ms
[2606:4700:d1::061e:c20c:6d3d:29ce]:1018,0.00%,180 ms
[2606:4700:d1::c765:2d7a:a194:75bb]:1014,0.00%,180 ms
[2606:4700:d0::f1c5:0854:563d:e847]:1018,0.00%,180 ms
[2606:4700:d1::41ec:169e:07c2:155b]:1018,0.00%,180 ms
[2606:4700:d0::ee59:6284:588c:8d32]:1014,0.00%,180 ms
[2606:4700:d1::63af:9e44:9905:741a]:1014,0.00%,180 ms
[2606:4700:d0::d860:2c00:935f:0286]:1018,0.00%,180 ms
[2606:4700:d1::5c1b:fbce:c2e3:8c3a]:1018,0.00%,180 ms
[2606:4700:d0::fcb6:fd9f:97f2:532e]:1014,0.00%,180 ms
[2606:4700:d1::27ff:6774:5928:81ad]:1014,0.00%,180 ms
[2606:4700:d1::38b1:cfbb:4d78:789f]:1014,0.00%,180 ms
[2606:4700:d1::0b1d:64a5:21ee:61bc]:1018,0.00%,180 ms
[2606:4700:d1::c829:4369:9090:95c6]:1018,0.00%,180 ms
[2606:4700:d1::1800:7e8b:2db4:e116]:1014,0.00%,180 ms
[2606:4700:d1::af20:5da2:f740:649d]:1014,0.00%,180 ms
[2606:4700:d0::eb81:a396:4bfb:9b04]:1014,0.00%,180 ms
[2606:4700:d0::9635:115b:604e:13d3]:1014,0.00%,180 ms
[2606:4700:d0::bcc5:881c:69a8:1c4f]:1018,0.00%,180 ms
[2606:4700:d0::f1cb:a40d:447b:9e1d]:1014,0.00%,180 ms
[2606:4700:d1::63af:9e44:9905:741a]:1018,0.00%,180 ms
[2606:4700:d1::661b:b4ff:b26e:c0d6]:1018,0.00%,180 ms
[2606:4700:d1::2762:3e5f:55e5:f23f]:1018,0.00%,180 ms
[2606:4700:d1::427a:df8d:2754:d1ca]:1014,0.00%,180 ms
[2606:4700:d0::436a:2f6b:0f8c:4eb5]:1014,0.00%,180 ms
[2606:4700:d0::86b1:1897:ebb4:05c3]:1018,0.00%,180 ms
[2606:4700:d0::e678:9ac4:3241:e7ef]:1014,0.00%,180 ms
[2606:4700:d1::1d3e:2c15:c0cf:21f9]:1018,0.00%,180 ms
[2606:4700:d1::4a82:4ce6:2402:f04e]:1018,0.00%,180 ms
[2606:4700:d1::061e:c20c:6d3d:29ce]:1014,0.00%,180 ms
[2606:4700:d1::661b:b4ff:b26e:c0d6]:1014,0.00%,180 ms
[2606:4700:d1::49ff:4a96:7adc:9565]:1018,0.00%,180 ms
[2606:4700:d0::e936:e0ad:f47c:0abf]:1018,0.00%,180 ms
[2606:4700:d1::6601:c13a:187f:d6ee]:1014,10.00%,255 ms
[2606:4700:d0::44bd:4a9e:7138:d869]:1018,10.00%,255 ms
[2606:4700:d0::ef1e:e988:18d2:b49e]:1018,10.00%,255 ms
[2606:4700:d0::013a:d9ad:0377:059b]:1018,10.00%,255 ms
[2606:4700:d0::1eaf:5fbc:b543:21e9]:1018,10.00%,255 ms
[2606:4700:d1::67a3:196f:52c8:9b10]:1018,10.00%,256 ms
[2606:4700:d0::a83e:2ad2:24a5:a95a]:1014,10.00%,256 ms
[2606:4700:d1::bd6a:0839:36e1:69da]:1018,10.00%,256 ms
[2606:4700:d0::02ef:f99e:04e0:adc6]:1014,10.00%,256 ms
[2606:4700:d0::56b6:5500:8491:77a7]:1018,10.00%,256 ms
[2606:4700:d0::8c8b:b044:b148:0156]:1014,10.00%,256 ms
[2606:4700:d1::4324:10da:9621:c396]:1014,10.00%,256 ms
[2606:4700:d0::0315:489d:74e1:6742]:1018,10.00%,256 ms
[2606:4700:d0::5a49:d906:f175:c343]:1018,10.00%,256 ms
[2606:4700:d1::c938:1a08:3d12:4b0f]:1018,10.00%,256 ms
[2606:4700:d0::d860:2c00:935f:0286]:1014,10.00%,256 ms
[2606:4700:d1::f0d6:1e88:3dd3:1a6d]:1018,10.00%,256 ms
[2606:4700:d1::8bef:d189:3e5e:89a9]:1014,10.00%,256 ms
[2606:4700:d1::6a8e:add7:9428:513e]:1018,10.00%,256 ms
[2606:4700:d1::e2e7:38a7:4e2a:38d1]:1018,10.00%,256 ms
[2606:4700:d0::4540:fb10:3336:b657]:1018,10.00%,256 ms
[2606:4700:d0::56b6:5500:8491:77a7]:1014,10.00%,256 ms
[2606:4700:d0::ce76:9b32:d3c3:88d4]:1018,10.00%,256 ms
[2606:4700:d1::41ec:169e:07c2:155b]:1014,10.00%,259 ms
[2606:4700:d1::963c:3869:e41d:10fa]:1014,10.00%,259 ms
[2606:4700:d1::ee10:dd9b:f733:a22c]:1014,10.00%,259 ms
[2606:4700:d1::63c0:b7d8:02d5:3bad]:1014,10.00%,259 ms
[2606:4700:d1::e2e7:38a7:4e2a:38d1]:1014,20.00%,337 ms
[2606:4700:d1::4a82:4ce6:2402:f04e]:1014,20.00%,339 ms
[2606:4700:d1::bf75:8cc8:ec10:90c3]:1014,20.00%,339 ms
[2606:4700:d1::3709:cd05:c428:2318]:1018,20.00%,339 ms
[2606:4700:d0::6490:aea2:8cae:bb6f]:1014,20.00%,340 ms
[2606:4700:d0::710f:992e:3a6e:cc3d]:1018,20.00%,340 ms
[2606:4700:d1::3c2d:55ab:a765:2fa1]:1014,20.00%,341 ms
[2606:4700:d0::ee59:6284:588c:8d32]:1018,20.00%,342 ms
[2606:4700:d0::ce76:9b32:d3c3:88d4]:1014,20.00%,342 ms
[2606:4700:d1::6a8e:add7:9428:513e]:1014,20.00%,342 ms
[2606:4700:d1::9d3d:d839:5407:e22e]:1014,20.00%,342 ms
[2606:4700:d1::ce2a:9a71:4491:3ee9]:1018,20.00%,342 ms
[2606:4700:d1::8e0a:d404:cb90:c3d0]:1014,20.00%,343 ms
